bowling_team,match_id,total
DC,204.0,159.0
DD,317.0,162.0
KKR,327.0,149.0
KTK,274.0,142.0
KXIP,315.0,169.0
MI,356.0,158.0
PW,334.0,151.0
RCB,318.0,156.0
RR,304.0,161.0
SRH,484.0,182.0
